3 weighted factors,Turnover,Bad Shot,Allowed Layup,Uncertainty (+/-),moneyline +-,,
Win Weight,0.44,0.43,,,,,
Q1 Score,,,0,,,,
12/31/22,NOP,MEM,Outcome,,,,
Mistake Score,,,0,,,,
Final Score,,,0,,,,
No. Wins,23,21,-2,,,,
No. Losses,12,13,-1,,,,
Win Rate (%),65.71,61.76,-3.95,close records,,,
Win Weight,0.43,0.41,,,,,
Q1 Score,,,0,,,,
12/31/22,DET,MIN,Outcome,,,,
Mistake Score,,,0,,,,
Final Score,,,0,,,,
No. Wins,9,16,7,,,,
No. Losses,29,20,9,,,,
Win Rate (%),23.68,44.44,20.76,somewhat different records,,,
Win Weight,0.46,0.44,,,,,
Q1 Score,,,0,,,,
12/31/22,PHI,OKC,Outcome,,,,
Mistake Score,,,0,,,,
Final Score,,,0,,,,
No. Wins,20,15,-5,,,,
No. Losses,14,20,-6,,,,
Win Rate (%),58.82,42.86,-15.97,somewhat close records,,,
Win Weight,0.41,0.43,,,,,
Q1 Score,,,0,,,,
12/31/22,MIA,UTA,Outcome,,,,
Mistake Score,,,0,,,,
Final Score,,,0,,,,
No. Wins,18,19,1,,,,
No. Losses,18,19,-1,,,,
Win Rate (%),50.00,50.00,0.00,identical records,,,
Win Weight,0.44,0.46,,,,,
Q1 Score,,,0,,,,
