2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 11/13	vsUTAH	W  105-98	37	19-28	67.9	1-5	20	20-24	83.3	11	8	7	1	3	5	59
Sun 11/12	vsATL	W  121-109	40	14-25	56	1-6	16.7	13-16	81.3	10	6	2	2	5	4	42
Fri 11/10	@ATL	L  104-95	32	9-18	50	0-3	0	8-10	80	13	2	1	0	5	8	26
Tue 11/7	vsPHX	W  100-88	37	8-21	38.1	1-4	25	16-16	100	10	5	1	0	2	3	33
NOVEMBER			35.3	10.4-20.9	49.7	0.9-3.6	24.1	12.5-14.5	86.2	9.8	6	2	1.5	3	4.5	34.1
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 10/29	@CHI	W  114-109	32	9-15	60	1-2	50	6-9	66.7	7	4	0	1	4	5	25
Thu 10/26	@TOR	L  119-109	38	12-17	70.6	2-4	50	5-7	71.4	5	3	0	0	2	2	31
Tue 10/24	vsIND	W  120-106	28	8-13	61.5	1-3	33.3	9-9	100	5	2	3	1	5	3	26
Sun 10/22	vsSA	L  114-105	36	14-25	56	0-2	0	12-15	80	13	3	2	1	2	2	40
Fri 10/20	vsMIL	L  90-88	36	6-21	28.6	1-3	33.3	2-3	66.7	12	3	1	0	2	4	15
Wed 10/18	@BOS	L  126-117	37	9-18	50	1-6	16.7	7-9	77.8	15	5	1	0	4	6	26
OCTOBER			34.5	9.7-18.2	53.2	1.0-3.3	30	6.8-8.7	78.8	9.5	3.3	1.2	0.5	3.2	3.7	27.2
