2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 12/27	vsSA	W  130-114	23	3-11	27.3	1-1	100	0-0	0	7	8	1	1	0	2	7
Sat 12/23	vsNO	L  128-125 OT	34	9-15	60	2-3	66.7	0-0	0	10	6	1	1	5	5	20
Thu 12/21	vsPOR	W  101-98	31	6-8	75	0-0	0	1-2	50	6	6	0	1	0	3	13
Sat 12/16	vsMIN	L  112-110	30	5-10	50	1-4	25	0-0	0	13	6	0	0	1	4	11
Thu 12/14	vsMIA	L  110-108	36	9-15	60	1-3	33.3	0-0	0	11	7	0	0	0	3	19
Tue 12/12	@DAL	L  121-114	31	6-13	46.2	2-2	100	0-0	0	5	4	0	1	1	4	14
Sun 12/10	@CLE	L  110-102	38	7-16	43.8	1-4	25	2-2	100	13	6	1	1	2	2	17
Thu 12/7	@MEM	L  123-102	27	4-13	30.8	2-3	66.7	0-0	0	10	4	0	1	0	3	10
Tue 12/5	@ATL	W  121-114	28	5-12	41.7	2-4	50	5-5	100	5	4	1	1	1	1	17
Sun 12/3	@MIN	W  135-128	33	8-16	50	3-7	42.9	2-3	66.7	12	7	2	2	4	4	21
DECEMBER			31.4	6.5-13.3	49.1	1.3-3.1	43.2	1.5-1.7	90	9.3	5.3	0.6	0.9	1.5	2.9	15.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	vsSA	W  119-111	33	7-18	38.9	0-1	0	0-0	0	14	5	0	2	1	0	14
Tue 11/28	@NO	L  105-101	28	3-9	33.3	0-1	0	1-1	100	5	1	0	1	4	3	7
Sun 11/26	@HOU	L  118-105	28	7-14	50	0-1	0	4-7	57.1	5	2	0	1	4	4	18
Sat 11/25	vsCHI	W  123-119 OT	38	5-13	38.5	0-1	0	0-0	0	13	9	1	0	0	5	10
Thu 11/23	vsDEN	L  131-126 OT	29	5-12	41.7	1-4	25	1-2	50	4	6	0	0	1	3	12
Tue 11/21	vsNY	L  129-119	34	8-15	53.3	0-2	0	2-2	100	9	7	0	1	1	3	18
Sat 11/18	@MEM	L  121-110	37	10-20	50	0-4	0	0-1	0	6	11	1	0	4	3	20
Thu 11/16	@WSH	W  121-120	20	5-11	45.5	1-3	33.3	0-0	0	6	2	0	0	4	2	11
Tue 11/14	@BOS	L  126-122	33	6-17	35.3	1-6	16.7	3-3	100	7	4	1	0	3	7	16
Mon 11/13	@NY	W  145-135	37	10-14	71.4	2-3	66.7	2-2	100	10	12	0	0	1	3	24
Sat 11/11	vsTOR	W  132-113	23	6-9	66.7	1-1	100	2-2	100	9	5	0	2	3	7	15
Thu 11/9	vsMIL	L  136-132 2OT	44	9-19	47.4	0-4	0	0-2	0	15	6	0	0	1	1	18
Tue 11/7	@DET	L  112-103	25	4-12	33.3	0-1	0	1-2	50	6	2	1	0	2	3	9
Sun 11/5	@MIL	L  108-94	26	6-14	42.9	2-3	66.7	1-1	100	6	2	0	0	1	4	15
Fri 11/3	vsDEN	L  122-110	32	7-14	50	2-4	50	0-0	0	1	5	0	1	3	4	16
Wed 11/1	vsORL	W  116-108	25	3-12	25	0-3	0	1-1	100	1	10	1	1	2	2	7
NOVEMBER			30.7	6.3-13.9	45.3	0.6-2.6	23.8	1.1-1.6	69.2	7.3	5.6	0.3	0.6	2.2	3.4	14.4
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 10/23	vsMIN	L  116-106	22	5-11	45.5	0-2	0	0-0	0	2	5	0	0	2	4	10
Sun 10/22	@DEN	L  122-117	33	8-17	47.1	2-4	50	1-2	50	12	6	1	1	2	1	19
Thu 10/19	@MIN	L  115-108	34	6-14	42.9	2-7	28.6	0-0	0	11	4	2	0	4	4	14
OCTOBER			29.3	6.3-14.0	45.2	1.3-4.3	30.8	0.3-0.7	50	8.3	5	1	0.3	2.7	3	14.3
